TOPIC,DESCRIPTION,,Count,
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,81870,
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,40700,
Household and dwelling characteristics,  Other single-attached house,,200,
Household and dwelling characteristics,  Movable dwelling,4,1790,
Household and dwelling characteristics,Total - Private households by household size - 100% data,,502305,
Household and dwelling characteristics,  1 person,,132695,
Household and dwelling characteristics,  2 persons,,159955,
Household and dwelling characteristics,  3 persons,,80020,
Household and dwelling characteristics,  4 persons,,79565,
Household and dwelling characteristics,  5 or more persons,,50070,
Household and dwelling characteristics,Number of persons in private households,,1291770,
Household and dwelling characteristics,Average household size,,2.6,
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,1070930,
Marital status,  Married or living common-law,,624845,
Marital status,    Married,,529175,
Marital status,    Living common-law,,95665,
Marital status,      Living common law - Never married,,73555,
Marital status,      Living common law - Separated,,3080,
Marital status,      Living common law - Divorced,,17645,
Marital status,      Living common law - Widowed,,1390,
Marital status,  Not married and not living common-law,,446090,
Marital status,    Not married and not living common law - Never married,,313900,
Marital status,    Not married and not living common law - Separated,,24245,
Marital status,    Not married and not living common law - Divorced,,67400,
Marital status,    Not married and not living common law - Widowed,,40550,
Family characteristics,Total - Census families in private households by family size - 100% data,5,356225,
Family characteristics,  2 persons,,164970,
Family characteristics,  3 persons,,78740,
Family characteristics,  4 persons,,79565,
Family characteristics,  5 or more persons,,32950,
Family characteristics,Average size of census families,,3,
Family characteristics,Average number of children in census families with children,6,1.8,
Family characteristics,Total number of census families in private households - 100% data,,356220,
Family characteristics,  Total couple families,,304050,
Family characteristics,    Married couples,,256225,
Family characteristics,      With children,6,155795,
Family characteristics,      Without children,,100430,
Family characteristics,    Common-law couples,,47830,
Family characteristics,      With children,6,14805,
Family characteristics,      Without children,,33020,
Family characteristics,  Total one-parent families,,52170,
Family characteristics,    in which the parent is a woman+,,40670,
Family characteristics,    in which the parent is a man+,,11505,
Family characteristics,Total - Persons in private households - 100% data,,1291770,
Family characteristics,  Total - Persons in census families,,1060650,
Family characteristics,    Married spouses or common-law partners,,608110,
Family characteristics,    Parents in one-parent families,,52170,
Family characteristics,    Children,6,400375,
Family characteristics,      In a two-parent family,,319875,
Family characteristics,      In a one-parent family,,80495,
Family characteristics,  Total - Persons not in census families in private households - 100% data,,231120,
Family characteristics,    Living alone,,132690,
Family characteristics,    Living with other relatives,7,34850,
Family characteristics,    Living with non-relatives only,,63575,
Household type,Total - Household type - 100% data,,502300,
Household type,  One-census-family households without additional persons,,302280,
Household type,    Couple-family households,,262950,
Household type,      With children,6,147735,
Household type,      Without children,,115220,
Household type,    One-parent-family households,,39325,
Household type,  Multigenerational households,8,17040,
Household type,  Multiple-census-family households,9,4035,
Household type,  One-census-family households with additional persons,9,18975,
Household type,  Two-or-more-person non-census-family households ,,27275,
Household type,  One-person households,,132690,
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10,1056225,
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,1003515,
Income of individuals in 2020,    Median total income in 2020 among recipients ($),,44400,
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,1004015,
Income of individuals in 2020,    Median after-tax income in 2020 among recipients ($),,40000,
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,909585,
Income of individuals in 2020,    Median market income in 2020 among recipients ($),,40400,
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,761365,
Income of individuals in 2020,    Median employment income in 2020 among recipients ($),,42400,
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,880900,
Income of individuals in 2020,    Median government transfers in 2020 among recipients ($),,7500,
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,115990,
Income of individuals in 2020,    Median employment insurance benefits in 2020 among recipients ($),,5800,
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,326795,
Income of individuals in 2020,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,8500,
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11,1056230,
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,1003175,
Income of individuals in 2020,    Average total income in 2020 among recipients ($),,64600,
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,1003685,
Income of individuals in 2020,    Average after-tax income in 2020 among recipients ($),,52500,
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,909780,
Income of individuals in 2020,    Average market income in 2020 among recipients ($),,61600,
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,761230,
Income of individuals in 2020,    Average employment income in 2020 among recipients ($),,60450,
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,879935,
Income of individuals in 2020,    Average government transfers in 2020 among recipients ($),,10010,
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,115600,
Income of individuals in 2020,    Average employment insurance benefits in 2020 among recipients ($),,7060,
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,325765,
Income of individuals in 2020,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),,9350,
Income of individuals in 2020,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,12,1056230,
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,13,356230,
Income of individuals in 2020,    Median employment income in 2020 for full-year full-time workers in 2020 ($),14,72500,
Income of individuals in 2020,    Average employment income in 2020 for full-year full-time workers in 2020 ($),15,93600,
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,16,309535,
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),,20400,
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),,33600,
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,17,100,
Income of individuals in 2020,  Market income (%),18,86.4,
Income of individuals in 2020,    Employment income (%),19,71,
Income of individuals in 2020,  Government transfers (%),20,13.6,
Income of individuals in 2020,    Employment insurance benefits (%),,1.3,
Income of individuals in 2020,    COVID-19 - Government income support and benefits (%),,5.2,
Income of individuals in 2020,      COVID-19 - Emergency and recovery benefits (%),,4.7,
Income of individuals in 2020,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,21,1056220,
Income of individuals in 2020,  Without total income,,52710,
Income of individuals in 2020,  With total income,,1003510,
Income of individuals in 2020,"    Under $10,000 (including loss)",,88650,
Income of individuals in 2020,"    $10,000 to $19,999",,95485,
Income of individuals in 2020,"    $20,000 to $29,999",,150395,
Income of individuals in 2020,"    $30,000 to $39,999",,120085,
Income of individuals in 2020,"    $40,000 to $49,999",,102800,
Income of individuals in 2020,"    $50,000 to $59,999",,84010,
Income of individuals in 2020,"    $60,000 to $69,999",,69945,
Income of individuals in 2020,"    $70,000 to $79,999",,56175,
Income of individuals in 2020,"    $80,000 to $89,999",,43630,
Income of individuals in 2020,"    $90,000 to $99,999",,36520,
Income of individuals in 2020,"    $100,000 and over",,155825,
Income of individuals in 2020,"      $100,000 to $149,999",,90875,
Income of individuals in 2020,"      $150,000 and over",,64950,
Income of individuals in 2020,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,22,1056220,
Income of individuals in 2020,  Without after-tax income,,52205,
Income of individuals in 2020,  With after-tax income,,1004020,
Income of individuals in 2020,"    Under $10,000 (including loss)",,92205,
Income of individuals in 2020,"    $10,000 to $19,999",,99660,
Income of individuals in 2020,"    $20,000 to $29,999",,170545,
Income of individuals in 2020,"    $30,000 to $39,999",,139800,
Income of individuals in 2020,"    $40,000 to $49,999",,119345,
Income of individuals in 2020,"    $50,000 to $59,999",,94265,
Income of individuals in 2020,"    $60,000 to $69,999",,71155,
Income of individuals in 2020,"    $70,000 to $79,999",,52530,
Income of individuals in 2020,"    $80,000 to $89,999",,41555,
Income of individuals in 2020,"    $90,000 to $99,999",,28220,
Income of individuals in 2020,"    $100,000 and over",,94730,
Income of individuals in 2020,"      $100,000 to $124,999",,39250,
Income of individuals in 2020,"      $125,000 and over",,55485,
Income of individuals in 2020,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,19,1056220,
Income of individuals in 2020,  Without employment income,,294855,
Income of individuals in 2020,  With employment income,,761365,
Income of individuals in 2020,"    Under $5,000 (including loss)",,93565,
Income of individuals in 2020,"    $5,000 to $9,999",,61265,
Income of individuals in 2020,"    $10,000 to $19,999",,84600,
Income of individuals in 2020,"    $20,000 to $29,999",,65430,
Income of individuals in 2020,"    $30,000 to $39,999",,62020,
Income of individuals in 2020,"    $40,000 to $49,999",,60110,
Income of individuals in 2020,"    $50,000 to $59,999",,56160,
Income of individuals in 2020,"    $60,000 to $69,999",,50010,
Income of individuals in 2020,"    $70,000 to $79,999",,40770,
Income of individuals in 2020,"    $80,000 to $89,999",,33160,
Income of individuals in 2020,"    $90,000 to $99,999",,29855,
Income of individuals in 2020,"    $100,000 and over",,124415,
Income of individuals in 2020,"      $100,000 to $124,999",,49530,
Income of individuals in 2020,"      $125,000 and over",,74880,
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,23,1056225,
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,,980505,
Income of individuals in 2019,    Median total income in 2019 among recipients ($),,43600,
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,,980815,
Income of individuals in 2019,    Median after-tax income in 2019 among recipients ($),,39200,
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,,897540,
Income of individuals in 2019,    Median market income in 2019 among recipients ($),,43200,
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,,762840,
Income of individuals in 2019,    Median employment income in 2019 among recipients ($),,44400,
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,,833025,
Income of individuals in 2019,    Median government transfers in 2019 among recipients ($),,1140,
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,,70610,
Income of individuals in 2019,    Median employment insurance benefits in 2019 among recipients ($),,6600,
Income of individuals in 2019,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,24,1056230,
Income of individuals in 2019,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,,980005,
Income of individuals in 2019,    Average total income in 2019 among recipients ($),,64200,
Income of individuals in 2019,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,,980295,
Income of individuals in 2019,    Average after-tax income in 2019 among recipients ($),,51800,
Income of individuals in 2019,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,,897990,
Income of individuals in 2019,    Average market income in 2019 among recipients ($),,64500,
Income of individuals in 2019,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,,762865,
Income of individuals in 2019,    Average employment income in 2019 among recipients ($),,63450,
Income of individuals in 2019,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,,833205,
Income of individuals in 2019,    Average government transfers in 2019 among recipients ($),,6005,
Income of individuals in 2019,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,,70185,
Income of individuals in 2019,    Average employment insurance benefits in 2019 among recipients ($),,8230,
Income of individuals in 2019,Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,25,1056230,
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data,13,352800,
Income of individuals in 2019,    Median employment income in 2019 for full-year full-time workers in 2020 ($),14,69500,
Income of individuals in 2019,    Average employment income in 2019 for full-year full-time workers in 2020 ($),15,91200,
Income of individuals in 2019,  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data,16,292225,
Income of individuals in 2019,    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($),,28800,
Income of individuals in 2019,    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($),,43240,
Income of individuals in 2019,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,,100,
Income of individuals in 2019,  Market income (%),,92,
Income of individuals in 2019,    Employment income (%),,77,
Income of individuals in 2019,  Government transfers (%),,7.9,
Income of individuals in 2019,    Employment insurance benefits (%),,0.9,
Income of households in 2020,Total - Income statistics for private households - 100% data,26,502305,
Income of households in 2020,  Median total income of household in 2020 ($),,98000,
Income of households in 2020,  Median after-tax income of household in 2020 ($),,85000,
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,,132690,
Income of households in 2020,      Median total income of one-person households in 2020 ($),,50000,
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),,44000,
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,,369610,
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),,119000,
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),,103000,
Income of households in 2020,Total - Income statistics for private households - 25% sample data,27,502305,
Income of households in 2020,  Average total income of household in 2020 ($),,129000,
Income of households in 2020,  Average after-tax income of household in 2020 ($),,104900,
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,,132725,
Income of households in 2020,      Average total income of one-person households in 2020 ($),,67900,
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),,55300,
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,,369575,
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),,151000,
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),,122700,
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,21,502305,
Income of households in 2020,"  Under $5,000",,5975,
Income of households in 2020,"  $5,000 to $9,999",,2895,
Income of households in 2020,"  $10,000 to $14,999",,3930,
Income of households in 2020,"  $15,000 to $19,999",,5410,
Income of households in 2020,"  $20,000 to $24,999",,14160,
Income of households in 2020,"  $25,000 to $29,999",,14505,
Income of households in 2020,"  $30,000 to $34,999",,12430,
Income of households in 2020,"  $35,000 to $39,999",,14120,
Income of households in 2020,"  $40,000 to $44,999",,15160,
Income of households in 2020,"  $45,000 to $49,999",,15195,
Income of households in 2020,"  $50,000 to $59,999",,30875,
Income of households in 2020,"  $60,000 to $69,999",,31950,
Income of households in 2020,"  $70,000 to $79,999",,31405,
Income of households in 2020,"  $80,000 to $89,999",,29885,
Income of households in 2020,"  $90,000 to $99,999",,28640,
Income of households in 2020,"  $100,000 and over",,245760,
Income of households in 2020,"    $100,000 to $124,999",,61565,
Income of households in 2020,"    $125,000 to $149,999",,47245,
Income of households in 2020,"    $150,000 to $199,999",,61440,
Income of households in 2020,"    $200,000 and over",,75515,
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,22,502305,
Income of households in 2020,"  Under $5,000",,6665,
Income of households in 2020,"  $5,000 to $9,999",,2985,
Income of households in 2020,"  $10,000 to $14,999",,4035,
Income of households in 2020,"  $15,000 to $19,999",,5855,
Income of households in 2020,"  $20,000 to $24,999",,15290,
Income of households in 2020,"  $25,000 to $29,999",,16415,
Income of households in 2020,"  $30,000 to $34,999",,14475,
Income of households in 2020,"  $35,000 to $39,999",,16635,
Income of households in 2020,"  $40,000 to $44,999",,18230,
Income of households in 2020,"  $45,000 to $49,999",,18030,
Income of households in 2020,"  $50,000 to $59,999",,37875,
Income of households in 2020,"  $60,000 to $69,999",,38390,
Income of households in 2020,"  $70,000 to $79,999",,36910,
Income of households in 2020,"  $80,000 to $89,999",,35205,
Income of households in 2020,"  $90,000 to $99,999",,31690,
Income of households in 2020,"  $100,000 and over",,203605,
Income of households in 2020,"    $100,000 to $124,999",,64210,
Income of households in 2020,"    $125,000 to $149,999",,45680,
Income of households in 2020,"    $150,000 and over",,93720,
Income of economic families in 2020,Total - Income statistics for economic families in private households - 100% data,28,350080,
Income of economic families in 2020,  Median total income of economic family in 2020 ($),,118000,
Income of economic families in 2020,  Median after-tax income of economic family in 2020 ($),,102000,
Income of economic families in 2020,  Average family size of economic families,,3.1,
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 100% data,,119715,
Income of economic families in 2020,  Median total income of couple-only economic families in 2020 ($),,107000,
Income of economic families in 2020,  Median after-tax income of couple-only economic families in 2020 ($),,92000,
Income of economic families in 2020,  Average family size of couple-only economic families,,2,
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 100% data,,170690,
Income of economic families in 2020,  Median total income of couple-with-children economic families  in 2020 ($),,142000,
Income of economic families in 2020,  Median after-tax income of couple-with-children economic families in 2020 ($),,122000,
Income of economic families in 2020,  Average family size of couple-with-children economic families,,4.1,
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 100% data,,47790,
Income of economic families in 2020,  Median total income of one-parent economic families in 2020 ($),,74500,
Income of economic families in 2020,  Median after-tax income of one-parent economic families in 2020 ($),,68500,
Income of economic families in 2020,  Average family size of one-parent economic families,,2.7,
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 100% data,29,196265,
Income of economic families in 2020,  Median total income in 2020 ($),30,44000,
Income of economic families in 2020,  Median after-tax income in 2020 ($),30,39600,
Income of economic families in 2020,Total - Income statistics for economic families in private households - 25% sample data,31,350020,
Income of economic families in 2020,  Average total income of economic family in 2020 ($),,151600,
Income of economic families in 2020,  Average after-tax income of economic family in 2020 ($),,122800,
Income of economic families in 2020,Total - Income statistics for couple-only economic families in private households - 25% sample data,,119860,
Income of economic families in 2020,  Average total income of couple-only economic families in 2020 ($),,140800,
Income of economic families in 2020,  Average after-tax income of couple-only economic families in 2020 ($),,113200,
Income of economic families in 2020,Total - Income statistics for couple-with-children economic families in private households - 25% sample data,,170590,
Income of economic families in 2020,  Average total income of couple-with-children economic families in 2020 ($),,178600,
Income of economic families in 2020,  Average after-tax income of couple-with-children economic families in 2020 ($),,143200,
Income of economic families in 2020,Total - Income statistics for one-parent economic families in private households - 25% sample data,,47630,
Income of economic families in 2020,  Average total income of one-parent economic families in 2020 ($),,89200,
Income of economic families in 2020,  Average after-tax income of one-parent economic families in 2020 ($),,77600,
Income of economic families in 2020,Total - Income statistics for persons aged 15 years and over not in economic families in private households - 25% sample data,32,196265,
Income of economic families in 2020,  Average total income in 2020 ($),30,59850,
Income of economic families in 2020,  Average after-tax income in 2020 ($),30,49480,
Low income and income inequality in 2020,Total - LIM low-income status in 2020 for the population in private households - 100% data,33,1291770,
Low income and income inequality in 2020,  0 to 17 years,,279980,
Low income and income inequality in 2020,    0 to 5 years,,90035,
Low income and income inequality in 2020,  18 to 64 years,,844490,
Low income and income inequality in 2020,  65 years and over,,167305,
Low income and income inequality in 2020,"In low income based on the Low-income measure, after tax (LIM-AT)",,115560,
Low income and income inequality in 2020,  0 to 17 years,,30045,
Low income and income inequality in 2020,    0 to 5 years,,9980,
Low income and income inequality in 2020,  18 to 64 years,,68060,
Low income and income inequality in 2020,  65 years and over,,17455,
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,9,
Low income and income inequality in 2020,  0 to 17 years (%),,10.7,
Low income and income inequality in 2020,    0 to 5 years (%),,11.1,
Low income and income inequality in 2020,  18 to 64 years (%),,8.1,
Low income and income inequality in 2020,  65 years and over (%),,10.4,
Low income and income inequality in 2020,Total - LICO low-income status in 2020 for the population in private households to whom the low-income concept is applicable - 100% data,33,1291770,
Low income and income inequality in 2020,  0 to 17 years,,279975,
Low income and income inequality in 2020,    0 to 5 years,,90035,
Low income and income inequality in 2020,  18 to 64 years,,844490,
Low income and income inequality in 2020,  65 years and over,,167305,
Low income and income inequality in 2020,"In low income based on the Low-income cut-offs, after tax (LICO-AT)",,74755,
Low income and income inequality in 2020,  0 to 17 years,,16260,
Low income and income inequality in 2020,    0 to 5 years,,5165,
Low income and income inequality in 2020,  18 to 64 years,,52615,
Low income and income inequality in 2020,  65 years and over,,5885,
Low income and income inequality in 2020,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",,5.8,
Low income and income inequality in 2020,  0 to 17 years (%),,5.8,
Low income and income inequality in 2020,    0 to 5 years (%),,5.7,
Low income and income inequality in 2020,  18 to 64 years (%),,6.2,
Low income and income inequality in 2020,  65 years and over (%),,3.5,
Low income and income inequality in 2020,Total - Adjusted after-tax economic family income decile group for the population in private households - 100% data,34,1291770,
Low income and income inequality in 2020,  In bottom half of the distribution,,567165,
Low income and income inequality in 2020,    In bottom decile,,107675,
Low income and income inequality in 2020,    In second decile,,113610,
Low income and income inequality in 2020,    In third decile,,112705,
Low income and income inequality in 2020,    In fourth decile,,115075,
Low income and income inequality in 2020,    In fifth decile,,118100,
Low income and income inequality in 2020,  In top half of the distribution,,724605,
Low income and income inequality in 2020,    In sixth decile,,122380,
Low income and income inequality in 2020,    In seventh decile,,125895,
Low income and income inequality in 2020,    In eighth decile,,132170,
Low income and income inequality in 2020,    In ninth decile,,145410,
Low income and income inequality in 2020,    In top decile,,198750,
Low income and income inequality in 2020,Total - Inequality measures for the population in private households - 100% data,35,1291770,
Low income and income inequality in 2020,  Gini index on adjusted household total income,,0.376,
Low income and income inequality in 2020,  Gini index on adjusted household market income,,0.471,
Low income and income inequality in 2020,  Gini index on adjusted household after-tax income,,0.327,
Low income and income inequality in 2020,  P90/P10 ratio on adjusted household after-tax income,,4.1,
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,36,1296120,
Knowledge of official languages,  English only,,1177415,
Knowledge of official languages,  French only,,825,
Knowledge of official languages,  English and French,,85355,
Knowledge of official languages,  Neither English nor French,,32520,
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,37,1296120,
First official language spoken,  English,,1240980,
First official language spoken,  French,,16810,
First official language spoken,  English and French,,6620,
First official language spoken,  Neither English nor French,,31705,
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,38,1296120,
Mother tongue,  Single responses,,1229455,
Mother tongue,    Official languages,,846405,
Mother tongue,      English,,830305,
Mother tongue,      French,,16100,
Mother tongue,    Non-official languages,,383050,
Mother tongue,      Indigenous languages,39,580,
Mother tongue,        Algonquian languages,,415,
Mother tongue,          Blackfoot,,175,
Mother tongue,          Cree-Innu languages,,185,
Mother tongue,            Atikamekw,,0,
Mother tongue,            Cree languages,,185,
Mother tongue,              Ililimowin (Moose Cree),,0,
Mother tongue,              Inu Ayimun (Southern East Cree),,0,
Mother tongue,              Iyiyiw-Ayimiwin (Northern East Cree),,5,
Mother tongue,              Nehinawewin (Swampy Cree),,10,
Mother tongue,              Nehiyawewin (Plains Cree),,50,
Mother tongue,              Nihithawiwin (Woods Cree),,10,
Mother tongue,"              Cree, n.o.s.",,125,
Mother tongue,            Innu (Montagnais),,0,
Mother tongue,            Naskapi,,0,
Mother tongue,          Eastern Algonquian languages,,5,
Mother tongue,            Mi'kmaq,,5,
Mother tongue,            Wolastoqewi (Malecite),,0,
Mother tongue,          Ojibway-Potawatomi languages,,55,
Mother tongue,            Anicinabemowin (Algonquin),,0,
Mother tongue,            Oji-Cree,,0,
Mother tongue,            Ojibway languages,,45,
Mother tongue,              Anishinaabemowin (Chippewa),,0,
Mother tongue,              Daawaamwin (Odawa),,0,
Mother tongue,              Saulteau (Western Ojibway),,20,
Mother tongue,"              Ojibway, n.o.s.",,30,
Mother tongue,"          Algonquian languages, n.i.e.",,0,
Mother tongue,        Athabaskan languages,,50,
Mother tongue,          Northern Athabaskan languages,,45,
Mother tongue,            Dakelh (Carrier),,0,
Mother tongue,            Dane-zaa (Beaver),,0,
Mother tongue,"            Dene, n.o.s.",,10,
Mother tongue,            Gwich'in,,0,
Mother tongue,            Slavey-Hare languages,,10,
Mother tongue,              Deh Gah Ghotie Zhatie (South Slavey),,0,
Mother tongue,              Satuotine Yati (North Slavey),,0,
Mother tongue,"              Slavey, n.o.s.",,5,
Mother tongue,            Tahltan languages,,0,
Mother tongue,              Kaska (Nahani),,0,
Mother tongue,              Tahltan,,0,
Mother tongue,            Tlicho (Dogrib),,0,
Mother tongue,            Tse'khene (Sekani),,0,
Mother tongue,            Tsilhqot'in (Chilcotin),,0,
Mother tongue,            Tsuu T'ina (Sarsi),,20,
Mother tongue,            Tutchone languages,,0,
Mother tongue,              Northern Tutchone,,0,
Mother tongue,              Southern Tutchone,,0,
Mother tongue,"              Tutchone, n.o.s.",,0,
Mother tongue,            Wetsuwet'en-Babine,,0,
Mother tongue,          Tlingit,,0,
Mother tongue,"          Athabaskan languages, n.i.e.",,5,
Mother tongue,        Haida,,0,
Mother tongue,        Inuktut (Inuit) languages,,10,
Mother tongue,          Inuinnaqtun (Inuvialuktun),,5,
Mother tongue,            Inuinnaqtun,,0,
Mother tongue,            Inuvialuktun,,0,
Mother tongue,          Inuktitut,,10,
Mother tongue,"          Inuktut (Inuit) languages, n.i.e.",,0,
Mother tongue,        Iroquoian languages,,5,
Mother tongue,          Cayuga,,0,
Mother tongue,          Mohawk,,5,
Mother tongue,          Oneida,,0,
Mother tongue,"          Iroquoian languages, n.i.e.",,0,
Mother tongue,        Ktunaxa (Kutenai),,0,
Mother tongue,        Michif,,10,
Mother tongue,        Salish languages,,5,
Mother tongue,          Halkomelem,,0,
